name,country,region,city,diocese,address,latitude,longitude,phone,email,website,mass_times,languages,source,verified
Holy Family Basilica,Kenya,Nairobi,Nairobi,Archdiocese of Nairobi,Wabera Street Nairobi,-1.2833,36.8167,254202228959.0,info@holyfamilynairobi.org,holyfamilynairobi.org,Sun: 7am 9am 11am 6pm,English|Kiswahili,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
St. Michael Cathedral Arusha,Tanzania,Northern,Arusha,Diocese of Arusha,-3.3869,36.683,,,,,Sun: 7am 9am,English|Kiswahili,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
Our Lady of Usambara Lushoto,Tanzania,Northern,Lushoto,Diocese of Same,-4.7820,38.288,,,,,Sun: 8am,Kiswahili|German,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
Notre Dame Parish Butare,Rwanda,Southern,Butare,Diocese of Butare,-2.5975,29.7394,,,,,Sun: 8am 10am,French|Kinyarwanda,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
St. Augustine Parish Kisii,Kenya,Nyanza,Kisii,Diocese of Kisii,Hospital Road Kisii,-0.6817,34.7667,,,,Sun: 7am 9am 11am,English|Kiswahili|Gusii,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
Our Lady of Lourdes Kakamega,Kenya,Western,Kakamega,Diocese of Kakamega,Kakamega Town,0.2827,34.7519,,,,Sun: 8am 10am,English|Kiswahili,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
St. Patrick's Iten,Kenya,Rift Valley,Iten,Diocese of Eldoret,Iten Town,0.675,35.51,,,,Sun: 7am 9am,English|Kiswahili,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
Holy Cross Parish Malindi,Kenya,Coast,Malindi,Diocese of Malindi,-3.2138,40.1169,,,,Sun: 7am 9am,English|Kiswahili,,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
Cathedral Basilica of the Holy Family Nairobi,Kenya,Nairobi,Nairobi,Archdiocese of Nairobi,Archbishop Makarios Dr,-1.2833,36.8167,,,,Sun: 6am 7:30am 9am 11am 6pm,English|Kiswahili|Latin,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
St. Mary's Subukia,Kenya,Rift Valley,Subukia,Diocese of Nakuru,-0.1833,36.1333,,,,Sun: 8am 10am,English|Kiswahili,,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
Notre-Dame de Paris,France,Île-de-France,Paris,Diocese of Paris,6 Parvis Notre-Dame,48.853,2.3499,33142345610.0,info@notredamedeparis.fr,notredamedeparis.fr,Daily Mass varies,French|Latin,OSM + diocesan website (seed data — verify mass times at parish),seed-unverified
